name,hours,is_used,length
Timelines with feeds (App),24,1,26
Shopping card (App),48,1,19
My orders (App),40,1,15
Comprobantes de pago (App),40,1,26
Business reviews (App),24,1,22
Feedback Deliverable 1,16,1,22
Feedback Deliverable 2,24,1,22
Feedback Deliverable 3,48,1,22
Diseño de la arquitectura,24,1,25
Detección de puntos y lineas en el rostro,40,0,41
Configuración de proyecto,8,0,25
Opción: Camara en tiempo real y captura de imagen,24,0,49
Puesta en producción,16,0,20
Setup python server,8,0,19
template,8,0,8
Configuración del proyecto,8,0,26
Img capturada con puntos editables,16,0,34
Impresión del modelo,40,0,20
Opción: Adjuntar imagen,8,0,23
validaciones en tiempo real de imagen,16,0,37
PM,22,0,2
QA,40,0,2
Configuración de proyecto,8,0,25
Conexión API,8,0,12
Menú (sin inicio de sesión),8,0,27
Menú lateral (sin inicio de sesión),8,0,35
Olvidó contraseña,8,0,17
Menú lateral (con inicio de sesión),8,0,35
Menú (con inicio de sesión),8,0,27
Desglose de pensión,8,0,19
Estado de trámite,8,0,17
Consulta de crédito,8,0,19
Líneas de crédito,8,0,17
Sucursales,8,0,10
Cerrar sesión,4,0,13
Publicación en tiendas,16,0,22
Splash,8,0,6
Inicio de sesión,8,0,16
PM,8,0,2
QA,32,0,2
Setup,4,0,5
"investigar e implementar en caso de exito, la viabilidad de que se puedan descargar más de un archivo a la vez",12,0,110
Publicacion apps,8,0,16
descargar archivos escogiendo el directorio donde se debe guardar,12,0,65
Setup,4,0,5
"investigar e implementar en caso de exito, la viabilidad de que se puedan descargar más de un archivo a la vez",12,0,110
descargar archivos escogiendo el directorio donde se debe guardar,12,0,65
Publicacion apps,8,0,16
QA,12,0,2
PM,2,0,2
Configuración de proyecto,8,0,25
Conexión API,8,0,12
Menú (sin inicio de sesión),8,0,27
Menú lateral (sin inicio de sesión),8,0,35
Olvidó contraseña,8,0,17
Menú lateral (con inicio de sesión),8,0,35
Menú (con inicio de sesión),8,0,27
Desglose de pensión,8,0,19
Estado de trámite,8,0,17
Consulta de crédito,8,0,19
Líneas de crédito,8,0,17
Sucursales,8,0,10
Cerrar sesión,4,0,13
Publicación en tiendas,16,0,22
Splash,8,0,6
Inicio de sesión,8,0,16
PM,8,0,2
QA,32,0,2
La tecla enter hace que se salga de la pantalla,4,0,47
Editar booking en la segunda pantalla de nueva solicitud de contenedor,4,0,70
Actualizar versión de angular,24,0,29
Exportar a Excel la lista de clientes,4,0,37
Agregar campo de fecha de presentación del documento y no solo el de vencimiento.,2,0,81
Historial de transportistas,4,0,27
Estadisticas de solicitudes (Agregar monto vendido a la par del monto facturado),2,0,80
"Tarifas (Agregar filtros por fecha inicio, fecha fin)",2,0,53
CRUD Naviera y selects en todas las páginas,4,0,43
Solicitud de contenedores (nuevo campo de consignatario y campo de notas),2,0,73
solicitud de tarifa (Agregar checkboxes para tarifas extras),4,0,60
Solicitud de furgones (exportar a excel con checkboxes),4,0,55
Cierre de guia (cambios varios),4,0,31
Ingresar guia (cambios varios),8,0,30
Boletas de pago a choferes (Que se puedan eliminar débitos),4,0,59
importar conbustibles (señalar lineas invalidas en rojo),4,0,56
Equipos nuevo equipo no está mostrando el dropdown del usuario.,2,0,63
Camiones (no generar alertas a cambiones esporádicos),4,0,53
Reporte de documentos (cambios varios),4,0,38
Cambios en menú principal (favoritos y busqueda rápida),24,0,55
Cambios en general,4,0,18
Crud mecanicos,4,0,14
Cambios en módulo de mantenimiento,24,0,34
Reporte de solicitudes por cliente y semana,4,0,43
Reporte de facturación por cliente y semana,4,0,43
Reporte de contenedor y fecha/hora de entrega,4,0,45
CRUD Naviera y selects en todas las páginas,4,0,43
Exportar a Excel la lista de clientes,4,0,37
Agregar campo de fecha de presentación del documento y no solo el de vencimiento.,2,0,81
Agregar el nombre del transportista a la descripción de la alerta de vencimiento.,4,0,81
Solicitud de contenedores (nuevo campo de consignatario y campo de notas),2,0,73
solicitud de tarifa (Agregar checkboxes para tarifas extras),16,0,60
Solicitud de furgones (exportar a excel con checkboxes),4,0,55
Cierre de guia (cambios varios),4,0,31
Ingresar guia (cambios varios),16,0,30
Trazabilidad (agregar costos al reporte),8,0,40
Boletas de pago a choferes (Que se puedan eliminar débitos),4,0,59
Migración a nueva librería de Excel,40,0,35
Historial de transportistas,4,0,27
Estadisticas de solicitudes (Agregar monto vendido a la par del monto facturado),8,0,80
Estadisticas de solicitudes (El excel debe tener el mismo formato del PDF),8,0,74
importar conbustibles (señalar lineas invalidas en rojo),4,0,56
Equipos nuevo equipo no está mostrando el dropdown del usuario.,2,0,63
Camiones (no generar alertas a cambiones esporádicos),4,0,53
Reporte de documentos (cambios varios),4,0,38
Cambios en general,4,0,18
Crud mecanicos,4,0,14
Cambios en módulo de mantenimiento,24,0,34
Actualizar versión de laravel,24,0,29
Reporte de viajes realizadosn (El excel que salga agrupado por transportistas y chofer con línea en blanco entre cada uno),8,0,122
Reporte de pagos transportistas (El excel debe ir ordenado por transportista y poner los signos de colones y colocar bien la sumatoria),8,0,135
"Tarifas (Agregar filtros por fecha inicio, fecha fin)",4,0,53
Solicitud de contenedores (Cambiar texto de Salida de planta por Planta y agregar 3 Ejes por defecto 3),1,0,103
Reporte de solicitudes por cliente y semana,4,0,43
Reporte de facturación por cliente y semana,4,0,43
Reporte de contenedor y fecha/hora de entrega,4,0,45
PM Entregable 1,12,0,15
PM Entregable 2,6,0,15
PM Entregable 3,6,0,15
QA Entregable 1,32,0,15
QA Entregable 2,24,0,15
QA Entregable 3,24,0,15
Configuración del proyecto,8,0,26
Registro,24,0,8
Login,16,0,5
Cerrar Sesión,8,0,13
Perfil de usuario,16,0,17
Tracking de orden,24,0,17
Mis direcciones (Direcciones favoritas),24,0,39
Ofertas recomendadas,24,0,20
Preguntas frecuentes,8,0,20
Enlace a soporte técnico (correo y llamadas),8,0,44
Entregas con horario personalizado,24,0,34
Pago en línea,40,0,13
Publicación en tienda,16,0,21
Cerrar Sesión,8,0,13
Notificaciones Push,16,0,19
Mis ordenes (Historial),16,0,23
Seleccionar ubicación,16,0,21
Buscador de productos o tiendas,24,0,31
Crear producto desde la app,32,0,27
Carrito de compras,80,0,18
Listado de ordenes para mesanjeros,16,0,34
Tomar Order (para recoger y entregar),16,0,37
Configuración del proyecto,8,0,26
Registro,24,0,8
Login,16,0,5
Seguridad y Roles,24,0,17
Manejo de tokens JWT,8,0,20
Perfil de usuario,8,0,17
Tracking de orden,32,0,17
Notificaciones Push,16,0,19
CRUD Ordenes,24,0,12
CRUD direcciones de usuario final,16,0,33
CRUD Ofertas,16,0,12
CRUD Usuarios,8,0,13
CRUD Tiendas,8,0,12
CRUD Productos,32,0,14
CRUD Categorías,8,0,15
Buscador de productos o tiendas,24,0,31
Pago en línea,40,0,13
Publicación en producción,16,0,25
Ordenes por recoger,24,0,19
Carrito de compras,40,0,18
CRUD de clientes,16,0,16
Configuración del proyecto,8,0,26
Login,8,0,5
CRUD de usuarios,16,0,16
CRUD de mensajeros,8,0,18
Control de ordenes,24,0,18
Notificaciones Push,16,0,19
Manual de usuario,32,0,17
Publicación en producción,16,0,25
Cerrar sesión,8,0,13
Detalle de ordenes,16,0,18
Configuración de RDS,8,0,20
Configuración de containers,8,0,27
Configuración de VPCs,8,0,21
Configuración de certificados SSL,8,0,33
Configuración de certificados SSL,8,0,33
Integración continua,32,0,20
Load Balancers,8,0,14
Api Gateway,8,0,11
PM Entregable 3,20,0,15
PM Entregable 1,24,0,15
PM Entregable 2,20,0,15
QA Entregable 1,100,0,15
QA Entregable 2,80,0,15
QA Entregable 3,80,0,15
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,16,0,5
Asignar mesa a tablet en sitio,8,0,30
Mantenimiento del menú,40,0,22
Pantalla de ordenes para cocina,24,0,31
Listado de clientes,8,0,19
Ver menú,32,0,8
Consultar estado de orden,16,0,25
Ordenar desde sitio web,40,0,23
Mantenimiento de lugares de entrega,8,0,35
Tarifa de lugares de entrega,16,0,28
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,8,0,5
Roles,16,0,5
Ordenes,24,0,7
Publicación en producción,16,0,25
Reporte de Ordenes + Filtros,16,0,28
Mantenimiento menú,32,0,18
Generación de urls de mesas,8,0,27
Mantenimiento de lugares de entrega,8,0,35
Tarifa de lugares de entrega,24,0,28
Integración con oficinaonlinecr para facturación,32,0,48
PM Entregable 2,18,0,15
PM Entregable 1,20,0,15
QA Entregable 2,62,0,15
QA Entregable 1,60,0,15
Miguel Work,50,0,11
Miguel Work,50,0,11
Byron Work,50,0,10
Byron Work,50,0,10
Carlos Work,20,0,11
Project setup,8,0,13
Actualización de versiones de librerías,24,0,39
Revición de login con tokens,8,0,28
Ocultar registro de horas en la app móvil,8,0,41
Publicación en playstore,8,0,24
Indicador: Producción por semilla sembrada en cultivos activo.,8,0,62
"Indicador: Historial de producción por semilla sembrada por producto, según el productor y la finca.",8,0,100
Indicador: Kilos recolectados por día por camión. Y un historial.,8,0,65
"Indicador:  Producción de cultivos activos, por producto en cajas y en kilos.",8,0,77
Indicador:   Indicador de incremento o decremento según la producción de cada día. Porcentualmente.,16,0,99
Laravel Upgrade,16,0,15
Project setup,8,0,13
Tabs de productores inactivos,8,0,29
Tabs de productores inactivos,8,0,29
Tabs de proyectos para inactivos,8,0,32
Tabs de usuarios inactivos,8,0,26
Tabs de fincas inactivas,8,0,24
Merge de fincas duplicadas (manualmente),8,0,40
Cambio de página cuando se asignan fincas,8,0,41
Ocultar los módulos de planillas en la app web,4,0,46
Ocultar los módulos de planillas en la app web,4,0,46
Cerrar cultivo automáticamente,8,0,30
Filtros en encabezado de columnas,24,0,33
Encabezados de columnas se deben mover con el scroll,4,0,52
Deploy a producción,16,0,19
PM Mejoras,12,0,10
PM Indicadores,4,0,14
QA Mejoras,40,0,10
QA Indicadores,8,0,14
PM,24,1,2
PM Enfermería,6,1,13
QA,56,1,2
QA Enfermería,16,1,13
Asociar teléfono a individuo,16,1,28
Recolección de datos de ubicación,16,1,33
Notificaciones push,16,1,19
Publicación en tiendas,16,1,22
Configuración del proyecto,8,1,26
Loguearse como especialista de salud,8,1,36
Toma de sintomas,24,1,16
Ajuste de plantilla móvil,16,1,25
Historial de exámenes realizados,16,1,32
Mostrar mapa con ubicación actual,8,1,33
Mostrar mapa con zonas peligrosas en Costa Rica,16,1,47
Alerta de zona roja,8,1,19
Asociar usuarios con compañías,8,1,30
Alertas de salida de geocerca,16,1,29
Configuración del proyecto,8,1,26
En el expediente del trabajador ver la lista de revisiones que ha tenido.,16,1,73
Toma de sintomas a pacientes (api),8,1,34
Localización actual de todas las personas,24,1,41
Reporte de revisiones con filtro para ver sanos y sospechosos.,16,1,62
Publicación en producción,8,1,25
Login,8,1,5
Monitoreo de individuo en mapa,24,1,30
Definición de geocercas,16,1,23
CRUD Compañias,8,1,14
Subir examen (pdf o foto),16,1,25
Historial de examenes por usuario,16,1,33
Seguridad,16,1,9
CRUD Personas,24,1,13
Asociar teléfono a individuo,8,1,28
Crear el role de especialista de salud.,8,1,39
Crear la vista de etiquetado de personas,40,1,40
Etiquetar personas desde un video,40,1,33
Etiquetar personas desde una lista de personas desconocidas,32,1,59
Creación de un job para que entrene el modelo automáticamente,40,1,61
CRUD de grupos,24,1,14
Etiquetar personas desde una o varias fotos,24,1,43
Creación de grupos,32,1,18
Optimizacion proceso de videos,24,1,30
PM,10,1,2
QA Express,24,0,10
QA Interna,120,0,10
PM Interna,24,0,10
PM Express,8,0,10
Feedback Interna,40,0,16
Feedback Express,8,0,16
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,16,0,5
Ver menú,32,0,8
Consultar estado de orden,16,0,25
Ordenar desde sitio web,40,0,23
Mantenimiento de lugares de entrega,8,0,35
Tarifa de lugares de entrega,16,0,28
Asignar mesa a tablet en sitio,8,0,30
Mantenimiento del menú,40,0,22
Pantalla de ordenes para cocina,24,0,31
Listado de clientes,8,0,19
Configuración del proyecto,8,0,26
Registro,16,0,8
Login,8,0,5
Roles,16,0,5
Ordenes,24,0,7
Publicación en producción,16,0,25
Reporte de Ordenes + Filtros,16,0,28
Mantenimiento menú,32,0,18
Generación de urls de mesas,8,0,27
Integración con oficinaonlinecr para facturación,32,0,48
Mantenimiento de lugares de entrega,8,0,35
Tarifa de lugares de entrega,24,0,28
Rediseño de formato de factura,24,1,30
CRUD Naviera y selects en todas las páginas,4,1,43
Exportar a Excel la lista de clientes,4,1,37
Agregar campo de fecha de presentación del documento y no solo el de vencimiento.,2,1,81
Agregar el nombre del transportista a la descripción de la alerta de vencimiento.,4,1,81
Migración a nueva librería de Excel,40,1,35
Historial de transportistas,4,1,27
Estadisticas de solicitudes (Agregar monto vendido a la par del monto facturado),8,1,80
Estadisticas de solicitudes (El excel debe tener el mismo formato del PDF),8,1,74
Actualizar versión de laravel,24,1,29
Reporte de viajes realizadosn (El excel que salga agrupado por transportistas y chofer con línea en blanco entre cada uno),8,1,122
Reporte de pagos transportistas (El excel debe ir ordenado por transportista y poner los signos de colones y colocar bien la sumatoria),8,1,135
"Tarifas (Agregar filtros por fecha inicio, fecha fin)",4,1,53
Reporte de solicitudes por cliente y semana,4,1,43
Reporte de facturación por cliente y semana,4,1,43
Reporte de contenedor y fecha/hora de entrega,4,1,45
Solicitud de contenedores (Cambiar texto de Salida de planta por Planta y agregar 3 Ejes por defecto 3),1,1,103
Solicitud de contenedores (nuevo campo de consignatario y campo de notas),2,1,73
solicitud de tarifa (Agregar checkboxes para tarifas extras),16,1,60
Solicitud de furgones (exportar a excel con checkboxes),4,1,55
Cierre de guia (cambios varios),4,1,31
Ingresar guia (cambios varios),16,1,30
Trazabilidad (agregar costos al reporte),8,1,40
Boletas de pago a choferes (Que se puedan eliminar débitos),4,1,59
importar conbustibles (señalar lineas invalidas en rojo),4,1,56
Equipos nuevo equipo no está mostrando el dropdown del usuario.,2,1,63
Camiones (no generar alertas a cambiones esporádicos),4,1,53
Cambios en general,4,1,18
Cambios en debitos en boletas de pago para camiones,40,1,51
Reporte de documentos (cambios varios),4,1,38
Crud mecanicos,4,1,14
Rediseño de formato de factura,24,1,30
PM Entregable 2,6,1,15
PM Entregable 3,6,1,15
PM Entregable 1,24,1,15
QA Entregable 2,24,1,15
QA Entregable 3,24,1,15
QA Entregable 1,40,1,15
Rediseño de formato de factura,40,1,30
La tecla enter hace que se salga de la pantalla,4,1,47
Editar booking en la segunda pantalla de nueva solicitud de contenedor,4,1,70
Actualizar versión de angular,24,1,29
Exportar a Excel la lista de clientes,4,1,37
Agregar campo de fecha de presentación del documento y no solo el de vencimiento.,2,1,81
Historial de transportistas,4,1,27
Estadisticas de solicitudes (Agregar monto vendido a la par del monto facturado),2,1,80
"Tarifas (Agregar filtros por fecha inicio, fecha fin)",2,1,53
CRUD Naviera y selects en todas las páginas,4,1,43
Reporte de solicitudes por cliente y semana,4,1,43
Reporte de facturación por cliente y semana,4,1,43
Reporte de contenedor y fecha/hora de entrega,4,1,45
Solicitud de contenedores (nuevo campo de consignatario y campo de notas),2,1,73
Cierre de guia (cambios varios),4,1,31
Cambios de acomodo de vertical a horizontal,40,1,43
solicitud de tarifa (Agregar checkboxes para tarifas extras),4,1,60
Solicitud de furgones (exportar a excel con checkboxes),4,1,55
Ingresar guia (cambios varios),8,1,30
Boletas de pago a choferes (Que se puedan eliminar débitos),4,1,59
importar conbustibles (señalar lineas invalidas en rojo),4,1,56
Equipos nuevo equipo no está mostrando el dropdown del usuario.,2,1,63
Camiones (no generar alertas a cambiones esporádicos),4,1,53
Reporte de documentos (cambios varios),4,1,38
Cambios en menú principal (favoritos y busqueda rápida),24,1,55
Cambios en general,4,1,18
Crud mecanicos,4,1,14
Project tasks,16,0,13
Project attachments,16,0,19
Deploy to production,16,0,20
Log Time,16,0,8
Upload Project contracts,8,0,24
Report: Hours by employee,8,0,25
Report: Hours per project,8,0,25
Project configuration,8,0,21
Login with office365,24,0,20
Time forecasting for next week,16,0,30
Project Roles CRUD,8,0,18
Rates per role on projects,16,0,26
Client CRUD,8,0,11
Projects CRUD,24,0,13
add/remove users from project,16,0,29
Security and roles,32,0,18
QA,72,0,2
PM,26,0,2
QA,92,0,2
Deploy a producción,24,0,19
Instalación de Opencart,24,0,23
Configuración opencart,8,0,22
Integración con pasarela del bac,80,0,32
Login con Facebook,24,0,18
Registro,16,0,8
Configuración del proyecto,8,0,26
Login,16,0,5
Listado de productos,16,0,20
Carrito de compras,40,0,18
Publicación Android,16,0,19
Publicación iOS,16,0,15
Configuración y ajustes de api OpenCart,40,0,39
PM,20,0,2
Configuración del proyecto,8,1,26
Login y registro,8,1,16
CRUD grupos,8,1,11
CRUD personas,8,1,13
Vista para administrar cámaras,16,1,30
Deploy a producción,16,1,19
Subir video al servidor,16,1,23
Vista de reportes,24,1,17
Vista de configuración,8,1,22
Vista de etiquetado,52,1,19
Project Manager,5,1,15
Configuración del proyecto,8,0,26
Subir foto y usar plantilla seleccionada,16,0,40
Maquetado HTML + Responsive,40,0,27
Manual de uso,8,0,13
Horas de mantenimiento,10,0,22
Agregar códigos de Google Analytics y Facebook Pixel.,1,0,53
Página home,8,0,11
Plantillas para fotos,32,0,21
Subir foto y usar plantilla seleccionada,16,0,40
Deploy a producción,16,0,19
Pagos con paypal,40,0,16
Project configuration,8,0,21
HTML Template,16,0,13
Home view,8,0,9
About US,8,0,8
Contact Us,8,0,10
Testimonies,8,0,11
Instant quote,16,0,13
E-commerce,40,0,10
Deploy to production,8,0,20
QA,32,0,2
PM,16,0,2
Registro,24,0,8
Envío de ubicación en tiempo real,24,0,33
Auto asignación de ordenes,16,0,26
Login Usuario y Password,8,0,24
Reviews de choferes,16,0,19
Visualizar paquete en tiempo real en mapa,32,0,41
Push notifications,16,0,18
Chat cliente - chofer,24,0,21
Configuración de proyecto,8,0,25
Perfil del usuario,8,0,18
Login con Google,16,0,16
Wallet para cashback,16,0,20
Login con Facebook,16,0,18
Historial de ordenes,24,0,20
CRUD Pedidos,16,0,12
Historial de movimientos de wallet,16,0,34
Integración de plataforma de pagos,40,0,34
Configuración de proyecto,8,0,25
Auto asignación de ordenes,16,0,26
Reviews de choferes,16,0,19
Registro,24,0,8
Envío de ubicación en tiempo real,24,0,33
Login con Google,16,0,16
Login con Facebook,16,0,18
Push notifications,16,0,18
Chat cliente - chofer,24,0,21
Wallet para cashback,16,0,20
Visualizar paquete en tiempo real en mapa,32,0,41
Historial de ordenes,24,0,20
Login Usuario y Password,8,0,24
Historial de movimientos de wallet,16,0,34
Perfil del usuario,8,0,18
CRUD Pedidos,16,0,12
Integración de plataforma de pagos,40,0,34
Historial de movimientos de wallet,8,0,34
Registro,16,0,8
Registro de orden nueva,8,0,23
Envío de notificaciones Push,16,0,28
Historial de ordenes,8,0,20
Listado de ordenes pendientes,8,0,29
Asignación de ordenes,8,0,21
Configuración de proyecto,8,0,25
Autorización,16,0,12
Autenticación,40,0,13
Recepción de ubicaciones en tiempo real,16,0,39
Socket de envío de ubicación en tiempo real,32,0,43
Reviews,8,0,7
Chat cliente - chofer,24,0,21
Movimientos de wallet,16,0,21
CRUD Pedidos,8,0,12
Pagos en línea,40,0,14
Configuración de proyecto,8,0,25
Tarifa a cobrar por Km,8,0,22
Roles y permisos,16,0,16
Crud usuarios,8,0,13
Tarifa a cobrar por Peso,8,0,24
Wallet de cada cliente,8,0,22
Tarifa a cobrar por ayudante,8,0,28
Reporte financiero,16,0,18
Reporte general,16,0,15
Generación de link de pagos,16,0,27
Reporte de transportes realizados,24,0,33
